id,league,season,venue,referee,home_team,away_team,date,timezone,half_time_score_home,half_time_score_away,half_time_winner,full_time_score_home,full_time_score_away,full_time_winner
871210,78,2022,738,S. Jablonski,173,165,2022-09-10T07:30:00-06:00,America/Costa_Rica,2,0,home,3,0,home
871216,78,2022,741,F. Zwayer,174,176,2022-09-10T10:30:00-06:00,America/Costa_Rica,1,0,home,3,1,home
871212,78,2022,731,B. Cortus,192,182,2022-09-11T07:30:00-06:00,America/Costa_Rica,0,1,away,0,1,away
871211,78,2022,12717,T. Stieler,160,163,2022-09-11T09:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
871222,78,2022,11899,F. Willenborg,164,159,2022-09-16T12:30:00-06:00,America/Costa_Rica,0,1,away,1,1,tie
871226,78,2022,19381,F. Brych,165,174,2022-09-17T07:30:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
871220,78,2022,699,T. Welz,168,162,2022-09-17T07:30:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
871218,78,2022,698,M. Fritz,170,157,2022-09-17T07:30:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
871225,78,2022,750,D. Siebert,172,169,2022-09-17T07:30:00-06:00,America/Costa_Rica,0,1,away,1,3,away
871219,78,2022,703,P. Ittrich,163,173,2022-09-17T10:30:00-06:00,America/Costa_Rica,2,0,home,3,0,home
871221,78,2022,748,R. Schröder,182,161,2022-09-18T07:30:00-06:00,America/Costa_Rica,0,0,tie,2,0,home
871223,78,2022,751,B. Dankert,176,192,2022-09-18T09:30:00-06:00,America/Costa_Rica,1,0,home,1,1,tie
871224,78,2022,724,D. Aytekin,167,160,2022-09-18T11:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
871227,78,2022,700,T. Stieler,157,168,2022-09-30T12:30:00-06:00,America/Costa_Rica,3,0,home,4,0,home
871229,78,2022,12717,S. Jablonski,160,164,2022-10-01T07:30:00-06:00,America/Costa_Rica,2,0,home,2,1,home
871232,78,2022,752,F. Zwayer,161,172,2022-10-01T07:30:00-06:00,America/Costa_Rica,2,2,tie,3,2,home
871231,78,2022,10491,S. Stegemann,169,182,2022-10-01T07:30:00-06:00,America/Costa_Rica,2,0,home,2,0,home
871228,78,2022,738,F. Badstübner,173,176,2022-10-01T07:30:00-06:00,America/Costa_Rica,2,0,home,4,0,home
871230,78,2022,731,H. Osmers,192,165,2022-10-01T07:30:00-06:00,America/Costa_Rica,0,1,away,3,2,home
871235,78,2022,755,M. Jöllenbeck,162,163,2022-10-01T10:30:00-06:00,America/Costa_Rica,4,0,home,5,1,home
871233,78,2022,694,C. Dingert,159,167,2022-10-02T07:30:00-06:00,America/Costa_Rica,1,1,tie,1,1,tie
871234,78,2022,741,D. Schlager,174,170,2022-10-02T09:30:00-06:00,America/Costa_Rica,1,2,away,2,3,away
871239,78,2022,724,B. Cortus,167,162,2022-10-07T12:30:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
871238,78,2022,11899,F. Brych,164,173,2022-10-08T07:30:00-06:00,America/Costa_Rica,1,0,home,1,1,tie
871237,78,2022,699,T. Reichel,168,174,2022-10-08T07:30:00-06:00,America/Costa_Rica,2,0,home,4,0,home
871242,78,2022,698,D. Siebert,170,161,2022-10-08T07:30:00-06:00,America/Costa_Rica,0,1,away,1,1,tie
871241,78,2022,751,M. Petersen,176,169,2022-10-08T07:30:00-06:00,America/Costa_Rica,0,0,tie,3,0,home
871236,78,2022,19381,D. Aytekin,165,157,2022-10-08T10:30:00-06:00,America/Costa_Rica,0,1,away,2,2,tie
871240,78,2022,703,S. Jablonski,163,192,2022-10-09T07:30:00-06:00,America/Costa_Rica,2,1,home,5,2,home
871244,78,2022,694,R. Schröder,159,160,2022-10-09T09:30:00-06:00,America/Costa_Rica,1,1,tie,2,2,tie
871243,78,2022,750,B. Dankert,172,182,2022-10-09T11:30:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
871252,78,2022,741,F. Badstübner,174,167,2022-10-14T12:30:00-06:00,America/Costa_Rica,0,2,away,0,3,away
871250,78,2022,752,B. Cortus,161,163,2022-10-15T07:30:00-06:00,America/Costa_Rica,1,1,tie,2,2,tie
871253,78,2022,755,R. Hartmann,162,164,2022-10-15T07:30:00-06:00,America/Costa_Rica,0,1,away,0,2,away
871249,78,2022,10491,F. Willenborg,169,168,2022-10-15T07:30:00-06:00,America/Costa_Rica,1,0,home,5,1,home
871251,78,2022,750,C. Dingert,172,176,2022-10-15T07:30:00-06:00,America/Costa_Rica,2,1,home,4,1,home
871246,78,2022,738,H. Osmers,173,159,2022-10-15T10:30:00-06:00,America/Costa_Rica,3,0,home,3,2,home
871248,78,2022,731,F. Zwayer,192,170,2022-10-16T07:30:00-06:00,America/Costa_Rica,0,1,away,3,2,home
