id,league,season,venue,referee,home_team,away_team,date,timezone,half_time_score_home,half_time_score_away,half_time_winner,full_time_score_home,full_time_score_away,full_time_winner
868002,39,2022,562,M. Salisbury,34,52,2022-09-03T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868005,39,2022,600,J. Brooks,39,41,2022-09-03T08:00:00-06:00,America/Costa_Rica,1,0,home,1,0,home
868004,39,2022,593,S. Attwell,47,36,2022-09-03T08:00:00-06:00,America/Costa_Rica,1,0,home,2,1,home
867999,39,2022,519,A. Madley,49,48,2022-09-03T08:00:00-06:00,America/Costa_Rica,0,0,tie,2,1,home
867997,39,2022,10503,R. Jones,55,63,2022-09-03T08:00:00-06:00,America/Costa_Rica,2,1,home,5,2,home
868003,39,2022,566,M. Oliver,65,35,2022-09-03T08:00:00-06:00,America/Costa_Rica,2,0,home,2,3,away
867996,39,2022,495,S. Hooper,66,50,2022-09-03T10:30:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
867998,39,2022,508,T. Harrington,51,46,2022-09-04T07:00:00-06:00,America/Costa_Rica,2,2,tie,5,2,home
868001,39,2022,556,P. Tierney,33,42,2022-09-04T09:30:00-06:00,America/Costa_Rica,1,0,home,3,1,home
868023,39,2022,566,J. Gillett,65,36,2022-09-16T13:00:00-06:00,America/Costa_Rica,1,0,home,2,3,away
868016,39,2022,495,T. Harrington,66,41,2022-09-16T13:00:00-06:00,America/Costa_Rica,1,0,home,1,0,home
868025,39,2022,600,A. Taylor,39,50,2022-09-17T05:30:00-06:00,America/Costa_Rica,0,2,away,0,3,away
868022,39,2022,562,C. Pawson,34,35,2022-09-17T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
868024,39,2022,593,S. Hooper,47,46,2022-09-17T10:30:00-06:00,America/Costa_Rica,2,2,tie,6,2,home
868017,39,2022,10503,D. Coote,55,42,2022-09-18T05:00:00-06:00,America/Costa_Rica,0,2,away,0,3,away
868020,39,2022,8560,M. Oliver,45,48,2022-09-18T07:15:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
868027,39,2022,494,A. Taylor,42,47,2022-10-01T05:30:00-06:00,America/Costa_Rica,1,1,tie,3,1,home
868026,39,2022,504,T. Bramall,35,55,2022-10-01T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868029,39,2022,535,D. England,36,34,2022-10-01T08:00:00-06:00,America/Costa_Rica,0,3,away,1,4,away
868032,39,2022,550,A. Madley,40,51,2022-10-01T08:00:00-06:00,America/Costa_Rica,1,2,away,3,3,tie
868034,39,2022,585,A. Marriner,41,45,2022-10-01T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,2,away
868028,39,2022,525,C. Kavanagh,52,49,2022-10-01T08:00:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
868035,39,2022,598,P. Tierney,48,39,2022-10-01T10:30:00-06:00,America/Costa_Rica,1,0,home,2,0,home
868033,39,2022,555,M. Oliver,50,33,2022-10-02T07:00:00-06:00,America/Costa_Rica,4,0,home,6,3,home
868030,39,2022,546,S. Attwell,63,66,2022-10-02T09:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868031,39,2022,547,R. Jones,46,65,2022-10-03T13:00:00-06:00,America/Costa_Rica,3,0,home,4,0,home
868043,39,2022,562,J. Brooks,34,55,2022-10-08T08:00:00-06:00,America/Costa_Rica,2,0,home,5,1,home
868036,39,2022,504,M. Salisbury,35,46,2022-10-08T08:00:00-06:00,America/Costa_Rica,0,1,away,2,1,home
868039,39,2022,519,S. Hooper,49,39,2022-10-08T08:00:00-06:00,America/Costa_Rica,1,0,home,3,0,home
868042,39,2022,555,A. Madley,50,41,2022-10-08T08:00:00-06:00,America/Costa_Rica,2,0,home,4,0,home
868038,39,2022,508,T. Harrington,51,47,2022-10-08T10:30:00-06:00,America/Costa_Rica,0,1,away,0,1,away
868045,39,2022,598,C. Kavanagh,48,36,2022-10-09T07:00:00-06:00,America/Costa_Rica,1,1,tie,3,1,home
868040,39,2022,525,P. Tierney,52,63,2022-10-09T07:00:00-06:00,America/Costa_Rica,1,1,tie,2,1,home
868037,39,2022,494,M. Oliver,42,40,2022-10-09T09:30:00-06:00,America/Costa_Rica,2,1,home,3,2,home
868041,39,2022,8560,D. Coote,45,33,2022-10-09T12:00:00-06:00,America/Costa_Rica,1,2,away,1,2,away
868044,39,2022,566,A. Taylor,65,66,2022-10-10T13:00:00-06:00,America/Costa_Rica,1,1,tie,1,1,tie
868047,39,2022,10503,M. Salisbury,55,51,2022-10-14T13:00:00-06:00,America/Costa_Rica,1,0,home,2,0,home
868050,39,2022,547,A. Madley,46,52,2022-10-15T05:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868048,39,2022,535,G. Scott,36,35,2022-10-15T08:00:00-06:00,America/Costa_Rica,1,2,away,2,2,tie
868055,39,2022,600,T. Bramall,39,65,2022-10-15T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
868054,39,2022,593,P. Tierney,47,45,2022-10-15T10:30:00-06:00,America/Costa_Rica,0,0,tie,2,0,home
868052,39,2022,556,C. Pawson,33,34,2022-10-16T07:00:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868053,39,2022,585,P. Bankes,41,48,2022-10-16T07:00:00-06:00,America/Costa_Rica,1,0,home,1,1,tie
868049,39,2022,546,C. Kavanagh,63,42,2022-10-16T07:00:00-06:00,America/Costa_Rica,0,1,away,0,1,away
868046,39,2022,495,R. Jones,66,49,2022-10-16T07:00:00-06:00,America/Costa_Rica,0,1,away,0,2,away
868051,39,2022,550,A. Taylor,40,50,2022-10-16T09:30:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
868059,39,2022,508,D. England,51,65,2022-10-18T12:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868062,39,2022,525,D. Coote,52,39,2022-10-18T13:15:00-06:00,America/Costa_Rica,0,1,away,2,1,home
868063,39,2022,562,T. Harrington,34,45,2022-10-19T12:30:00-06:00,America/Costa_Rica,1,0,home,1,0,home
868056,39,2022,504,J. Brooks,35,41,2022-10-19T12:30:00-06:00,America/Costa_Rica,0,1,away,0,1,away
868064,39,2022,550,S. Attwell,40,48,2022-10-19T12:30:00-06:00,America/Costa_Rica,1,0,home,1,0,home
868058,39,2022,10503,J. Gillett,55,49,2022-10-19T12:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868065,39,2022,556,S. Hooper,33,47,2022-10-19T13:15:00-06:00,America/Costa_Rica,0,0,tie,2,0,home
868060,39,2022,535,M. Oliver,36,66,2022-10-20T12:30:00-06:00,America/Costa_Rica,1,0,home,3,0,home
868061,39,2022,547,P. Bankes,46,63,2022-10-20T13:15:00-06:00,America/Costa_Rica,2,0,home,2,0,home
868071,39,2022,566,P. Tierney,65,40,2022-10-22T05:30:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
868068,39,2022,8560,S. Hooper,45,52,2022-10-22T08:00:00-06:00,America/Costa_Rica,1,0,home,3,0,home
868070,39,2022,555,C. Pawson,50,51,2022-10-22T08:00:00-06:00,America/Costa_Rica,2,0,home,3,1,home
868067,39,2022,519,S. Attwell,49,33,2022-10-22T10:30:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
868075,39,2022,600,M. Oliver,39,46,2022-10-23T07:00:00-06:00,America/Costa_Rica,0,2,away,0,4,away
868072,39,2022,585,R. Jones,41,42,2022-10-23T07:00:00-06:00,America/Costa_Rica,0,1,away,1,1,tie
868069,39,2022,546,A. Taylor,63,36,2022-10-23T07:00:00-06:00,America/Costa_Rica,1,1,tie,2,3,away
868066,39,2022,495,D. England,66,55,2022-10-23T07:00:00-06:00,America/Costa_Rica,3,0,home,4,0,home
868073,39,2022,593,J. Gillett,47,34,2022-10-23T09:30:00-06:00,America/Costa_Rica,0,2,away,1,2,away
868074,39,2022,598,D. Coote,48,35,2022-10-24T13:00:00-06:00,America/Costa_Rica,1,0,home,2,0,home
868082,39,2022,547,R. Jones,46,50,2022-10-29T05:30:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
868085,39,2022,562,P. Tierney,34,66,2022-10-29T08:00:00-06:00,America/Costa_Rica,1,0,home,4,0,home
868076,39,2022,504,A. Taylor,35,47,2022-10-29T08:00:00-06:00,America/Costa_Rica,1,0,home,2,3,away
868079,39,2022,508,A. Madley,51,49,2022-10-29T08:00:00-06:00,America/Costa_Rica,3,0,home,4,1,home
868080,39,2022,525,M. Salisbury,52,41,2022-10-29T08:00:00-06:00,America/Costa_Rica,1,0,home,1,0,home
868078,39,2022,10503,R. Madley,55,39,2022-10-29T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
868081,39,2022,535,J. Brooks,36,45,2022-10-29T10:30:00-06:00,America/Costa_Rica,0,0,tie,0,0,tie
868083,39,2022,550,M. Oliver,40,63,2022-10-29T12:45:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
868077,39,2022,494,S. Hooper,42,65,2022-10-30T08:00:00-06:00,America/Costa_Rica,1,0,home,5,0,home
868084,39,2022,556,C. Kavanagh,33,48,2022-10-30T10:15:00-06:00,America/Costa_Rica,1,0,home,1,0,home
868095,39,2022,600,G. Scott,39,51,2022-11-05T09:00:00-06:00,America/Costa_Rica,2,2,tie,2,3,away
868090,39,2022,555,D. England,50,36,2022-11-05T09:00:00-06:00,America/Costa_Rica,1,1,tie,2,1,home
868089,39,2022,546,T. Harrington,63,35,2022-11-05T09:00:00-06:00,America/Costa_Rica,1,2,away,4,3,home
868091,39,2022,566,A. Marriner,65,55,2022-11-05T09:00:00-06:00,America/Costa_Rica,1,1,tie,2,2,tie
868088,39,2022,8560,D. Coote,45,46,2022-11-05T11:30:00-06:00,America/Costa_Rica,0,1,away,0,2,away
868087,39,2022,519,M. Oliver,49,42,2022-11-06T06:00:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
868092,39,2022,585,S. Attwell,41,34,2022-11-06T08:00:00-06:00,America/Costa_Rica,0,1,away,1,4,away
868094,39,2022,598,P. Tierney,48,52,2022-11-06T08:00:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
868086,39,2022,495,A. Taylor,66,33,2022-11-06T08:00:00-06:00,America/Costa_Rica,2,1,home,3,1,home
868093,39,2022,593,A. Madley,47,40,2022-11-06T10:30:00-06:00,America/Costa_Rica,0,2,away,1,2,away
868100,39,2022,555,P. Bankes,50,55,2022-11-12T06:30:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
868096,39,2022,504,C. Pawson,35,45,2022-11-12T09:00:00-06:00,America/Costa_Rica,2,0,home,3,0,home
868099,39,2022,550,S. Hooper,40,41,2022-11-12T09:00:00-06:00,America/Costa_Rica,3,1,home,3,1,home
868103,39,2022,593,M. Salisbury,47,63,2022-11-12T09:00:00-06:00,America/Costa_Rica,1,2,away,4,3,home
868104,39,2022,598,J. Gillett,48,46,2022-11-12T09:00:00-06:00,America/Costa_Rica,0,1,away,0,2,away
868102,39,2022,566,J. Brooks,65,52,2022-11-12T09:00:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
868101,39,2022,562,R. Jones,34,49,2022-11-12T11:30:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
868105,39,2022,600,S. Attwell,39,42,2022-11-12T13:45:00-06:00,America/Costa_Rica,0,0,tie,0,2,away
868097,39,2022,508,C. Kavanagh,51,66,2022-11-13T08:00:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
868098,39,2022,535,P. Tierney,36,33,2022-11-13T10:30:00-06:00,America/Costa_Rica,0,1,away,1,2,away
868108,39,2022,10503,D. Coote,55,47,2022-12-26T06:30:00-06:00,America/Costa_Rica,1,0,home,2,2,tie
868115,39,2022,585,R. Jones,41,51,2022-12-26T09:00:00-06:00,America/Costa_Rica,0,2,away,1,3,away
868111,39,2022,8560,C. Pawson,45,39,2022-12-26T09:00:00-06:00,America/Costa_Rica,1,1,tie,1,2,away
868113,39,2022,547,J. Gillett,46,34,2022-12-26T09:00:00-06:00,America/Costa_Rica,0,3,away,0,3,away
868110,39,2022,525,A. Madley,52,36,2022-12-26T09:00:00-06:00,America/Costa_Rica,0,1,away,0,3,away
