id,league,season,venue,referee,home_team,away_team,date,timezone,half_time_score_home,half_time_score_away,half_time_winner,full_time_score_home,full_time_score_away,full_time_winner
1035037,39,2023,512,C. Pawson,44,50,2023-08-11T13:00:00-06:00,America/Costa_Rica,0,2,away,0,3,away
1035038,39,2023,494,M. Oliver,42,65,2023-08-12T05:30:00-06:00,America/Costa_Rica,2,0,home,2,1,home
1035039,39,2023,504,P. Bankes,35,48,2023-08-12T08:00:00-06:00,America/Costa_Rica,0,0,tie,1,1,tie
1035041,39,2023,8560,S. Attwell,45,36,2023-08-12T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
1035040,39,2023,508,D. Coote,51,1359,2023-08-12T08:00:00-06:00,America/Costa_Rica,1,0,home,4,1,home
1035042,39,2023,581,J. Brooks,62,52,2023-08-12T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
1035043,39,2023,562,A. Madley,34,66,2023-08-12T10:30:00-06:00,America/Costa_Rica,2,1,home,5,1,home
1035044,39,2023,10503,R. Jones,55,47,2023-08-13T07:00:00-06:00,America/Costa_Rica,2,2,tie,2,2,tie
1035045,39,2023,519,A. Taylor,49,40,2023-08-13T09:30:00-06:00,America/Costa_Rica,1,1,tie,1,1,tie
1035046,39,2023,556,S. Hooper,33,39,2023-08-14T13:00:00-06:00,America/Costa_Rica,0,0,tie,1,0,home
1035053,39,2023,566,P. Bankes,65,62,2023-08-18T12:45:00-06:00,America/Costa_Rica,1,0,home,2,1,home
1035049,39,2023,535,D. Bond,36,55,2023-08-19T08:00:00-06:00,America/Costa_Rica,0,1,away,0,3,away
1035056,39,2023,600,A. Madley,39,51,2023-08-19T08:00:00-06:00,America/Costa_Rica,0,1,away,1,4,away
1035050,39,2023,550,T. Bramall,40,35,2023-08-19T08:00:00-06:00,America/Costa_Rica,2,1,home,3,1,home
1035054,39,2023,593,M. Oliver,47,33,2023-08-19T10:30:00-06:00,America/Costa_Rica,0,0,tie,2,0,home
1035052,39,2023,555,R. Jones,50,34,2023-08-19T13:00:00-06:00,America/Costa_Rica,1,0,home,1,0,home
1035047,39,2023,495,A. Taylor,66,45,2023-08-20T07:00:00-06:00,America/Costa_Rica,2,0,home,4,0,home
1035055,39,2023,598,J. Brooks,48,49,2023-08-20T09:30:00-06:00,America/Costa_Rica,1,1,tie,3,1,home
1035048,39,2023,525,D. Coote,52,42,2023-08-21T13:00:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
1035062,39,2023,519,R. Jones,49,1359,2023-08-25T13:00:00-06:00,America/Costa_Rica,1,0,home,3,0,home
1035057,39,2023,504,T. Robinson,35,47,2023-08-26T05:30:00-06:00,America/Costa_Rica,0,1,away,0,2,away
1035064,39,2023,556,S. Attwell,33,65,2023-08-26T08:00:00-06:00,America/Costa_Rica,1,2,away,3,2,home
1035058,39,2023,494,P. Tierney,42,36,2023-08-26T08:00:00-06:00,America/Costa_Rica,0,1,away,2,2,tie
1035063,39,2023,8560,C. Pawson,45,39,2023-08-26T08:00:00-06:00,America/Costa_Rica,0,0,tie,0,1,away
1035059,39,2023,10503,P. Bankes,55,52,2023-08-26T08:00:00-06:00,America/Costa_Rica,1,0,home,1,1,tie
1035060,39,2023,508,A. Taylor,51,48,2023-08-26T10:30:00-06:00,America/Costa_Rica,0,1,away,1,3,away
1035061,39,2023,512,M. Salisbury,44,66,2023-08-27T07:00:00-06:00,America/Costa_Rica,0,2,away,1,3,away
1035066,39,2023,581,J. Gillett,62,50,2023-08-27T07:00:00-06:00,America/Costa_Rica,0,0,tie,1,2,away
1035065,39,2023,562,J. Brooks,34,40,2023-08-27T09:30:00-06:00,America/Costa_Rica,1,0,home,1,2,away
